型号,产品名称,产品类型,系列,产品组件,开箱配件/装箱清单,组件抽取状态,组件来源关键词,配件抽取状态,配件来源关键词,来源PDF,PDF链接,型号重复次数,组件来源片段,配件来源片段
918ECM,918ECM 润柔标准型,软水机,润柔,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,918ECM 润柔标准型.pdf,../918ECM 润柔标准型.pdf,1,,
925ECM,925ECM 润柔增强型,软水机,润柔,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,925ECM 润柔增强型.pdf,../925ECM 润柔增强型.pdf,1,,
CES-150E,CES-150E 双温典雅型,其他,其他,"一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境
不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里
设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,CES-150E 双温典雅型.pdf,../CES-150E 双温典雅型.pdf,1,一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境 1. 不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里。 2. 设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.,
CES150E,CES-150E 双温典雅型,其他,其他,"一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境
不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里
设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,CES-150E 双温典雅型.pdf,../CES-150E 双温典雅型.pdf,1,一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境 1. 不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里。 2. 设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.,
CES-150P,CES-150P 调温豪华型,其他,其他,"一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境
不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里
设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,CES-150P 调温豪华型.pdf,../CES-150P 调温豪华型.pdf,1,一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境 1. 不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里。 2. 设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.,
CES150P,CES-150P 调温豪华型,其他,其他,"一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境
不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里
设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.",未在可识别正文中找到明确开箱配件或装箱清单,found,结构示意图,not_found,,CES-150P 调温豪华型.pdf,../CES-150P 调温豪华型.pdf,1,一自动断水阀 进水一「 世水一 活性炭折叠膜滤芯 CES-150E/P 4 安装提示 F9OWATER 安装提示 一．安装环境 1. 不要将设备安装在潮湿、污浊、阳光直射、不平坦的环境里。 2. 设备要安装在距离墙壁 10cm 以外的坚硬平坦的台面上。 二.,
EBUF105-3-AS,EBUF105-3-AS 挚爱系列,其他,挚爱系列,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
净水机机头、顶盖及侧盖
三支滤芯
水龙头及相关配件的组件包
配有带颜色标记及一定长度的软管
含有固定螺钉和垫圈的零件袋
油脂袋和管接头配件包
用户手册","在单一包装箱内，其中包括以下组件
净水机机头、顶盖及侧盖
三支滤芯
水龙头及相关配件的组件包
配有带颜色标记及一定长度的软管
含有固定螺钉和垫圈的零件袋
油脂袋和管接头配件包
用户手册",found,产品组件,found,本产品的所有组件都包含,EBUF105-3-AS 挚爱系列.pdf,../EBUF105-3-AS 挚爱系列.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）净水机机头、顶盖及侧盖 （2） 三支滤芯 （3） 水龙头及相关配件的组件包 （4） 配有带颜色标记及一定长度的软管 （5） 含有固定螺钉和垫圈的零件袋 （6） 油脂袋和管接头配件包 （7）用户手册,在单一包装箱内，其中包括以下组件： （1）净水机机头、顶盖及侧盖 （2） 三支滤芯 （3） 水龙头及相关配件的组件包 （4） 配有带颜色标记及一定长度的软管 （5） 含有固定螺钉和垫圈的零件袋 （6） 油脂袋和管接头配件包 （7）用户手册
ECD100,ECD100台式即热饮水机说明书,管线机/饮水机,管线机/饮水机,"产品安装
使用说明
注意事项
故障诊断
环保清单","序号 名称 台式机 3分PE管 三通接头 说明书 合格证 接水盒组件 数量 1台 1.5米 2个 1本 1张 1套 技术参数 产品型号 额定电压 额定功率 制热功率 额定总功率 进...
卫水字（2022）第0656号 GB 4706.1-2005;GB 4706.19-2008; Q/320583 AYYK012-2022 输出水质符合《生活饮用水输配水设备及防护...",found,结构示意图,found,装箱清单,ECD100台式即热饮水机说明书.pdf,../ECD100台式即热饮水机说明书.pdf,1,产品安装 使用说明 注意事项 故障诊断 环保清单 质保条款 产品保养及维修记录 怡口产品保修卡 1 1 ］ 2 2 3 3 4 6 00 9 10 11 12 感谢您使用怡口牌ECD100即热式台式管线机。在此之前，为了正确使用和,"序号 名称 台式机 3分PE管 三通接头 说明书 合格证 接水盒组件 数量 1台 1.5米 2个 1本 1张 1套 技术参数 产品型号 额定电压 额定功率 制热功率 额定总功率 进水压力 环境温度 适用水温 制热水能力 防触电保护类型 适用水源 卫生许可批准文号 执行标准 输出水质 ECD100 220V~ 50Hz 2100W 2150W 0.1MPa~0.4MPa 4°C~40°C 5°C~38°C ≥90°C,23L/h I类 纯净水 浙（04）卫水字（2022）第0656号 GB 4706.1-2005;G"
ECR3500 R20,ECR3500 R20 超柔智多星标准型,其他,超柔,"ECR
3500R20
3500R30
ERR
3502R30
型号代码
HR20
HR30
HR20+
2H30+
滤料
钠型苯乙烯阳离子交换树脂
＋颗粒活性炭
滤料使用寿命＊（年）
3-5
净水流量
额定总净水流量
(m
20000
30000
15
18
再生周期
高容量树脂的数量
17
25
20
供水的最大硬度
(ppm)
684","组装和安装所需小零件/零配件袋
本说明书/本手册",found,结构示意图,found,开箱,ECR3500 R20 超柔智多星标准型.pdf,../ECR3500 R20 超柔智多星标准型.pdf,1,ECR 3500R20 ECR 3500R30 ERR 3500R20 ERR 3502R30 型号代码 HR20 HR30 HR20+ 2H30+ 滤料 钠型苯乙烯阳离子交换树脂 钠型苯乙烯阳离子交换树脂 ＋颗粒活性炭 滤料使用寿命＊（年） 3-5 净水流量 3 3.5 3 3.5 额定总净水流量 (m 3 ) 20000 30000 15 18 再生周期 (m 3 ) 3 3.5 3 3.5 高容量树脂的数量 ( 升 ) 17 25 20 25 供水的最大硬度 (ppm) 684 1026 855 1026 工,及安装 二、开箱及安装 1. 开箱 一体式系统 R20、R30 装在一个大纸板箱中 从工厂发运。箱内包括装配和安装该装置所需零 配件袋，以及本手册。 分体式系统 R40 装在两个纸板箱中从工厂发 运。一个纸箱包括树脂罐和控制器总成，另一个 纸箱中包含盐箱、盖子、装配和安装该装置所需 小型零配件袋，以及本手册。 彻底检查包装箱及怡口软水机，看是否有运 输损坏或是部件遗失。如果存在损坏，请通知运 输公司。怡口公司不负责运输中造成的损坏。 拆开所有包装材料。我们建议您在使用之前 不要打开小型零配件袋。所有型号需要的装配工
ECR3500 R30,ECR3500 R30 超柔智多星增强型,其他,超柔,"ECR
3500R20
3500R30
ERR
3502R30
型号代码
HR20
HR30
HR20+
2H30+
滤料
钠型苯乙烯阳离子交换树脂
＋颗粒活性炭
滤料使用寿命＊（年）
3-5
净水流量
额定总净水流量
(m
20000
30000
15
18
再生周期
高容量树脂的数量
17
25
20
供水的最大硬度
(ppm)
684","组装和安装所需小零件/零配件袋
本说明书/本手册",found,结构示意图,found,开箱,ECR3500 R30 超柔智多星增强型.pdf,../ECR3500 R30 超柔智多星增强型.pdf,1,ECR 3500R20 ECR 3500R30 ERR 3500R20 ERR 3502R30 型号代码 HR20 HR30 HR20+ 2H30+ 滤料 钠型苯乙烯阳离子交换树脂 钠型苯乙烯阳离子交换树脂 ＋颗粒活性炭 滤料使用寿命＊（年） 3-5 净水流量 3 3.5 3 3.5 额定总净水流量 (m 3 ) 20000 30000 15 18 再生周期 (m 3 ) 3 3.5 3 3.5 高容量树脂的数量 ( 升 ) 17 25 20 25 供水的最大硬度 (ppm) 684 1026 855 1026 工,及安装 二、开箱及安装 1. 开箱 一体式系统 R20、R30 装在一个大纸板箱中 从工厂发运。箱内包括装配和安装该装置所需零 配件袋，以及本手册。 分体式系统 R40 装在两个纸板箱中从工厂发 运。一个纸箱包括树脂罐和控制器总成，另一个 纸箱中包含盐箱、盖子、装配和安装该装置所需 小型零配件袋，以及本手册。 彻底检查包装箱及怡口软水机，看是否有运 输损坏或是部件遗失。如果存在损坏，请通知运 输公司。怡口公司不负责运输中造成的损坏。 拆开所有包装材料。我们建议您在使用之前 不要打开小型零配件袋。所有型号需要的装配工
EED-101,EED-101嵌入式管线机说明书,管线机/饮水机,管线机/饮水机,未在可识别正文中找到明确产品组件清单,"产品维修指南
质保条款
产品保养及维修记录
产品保修卡
06
07
08
09
10",not_found,,found,包装清单,EED-101嵌入式管线机说明书.pdf,../EED-101嵌入式管线机说明书.pdf,1,,产品维修指南 质保条款 产品保养及维修记录- 产品保修卡 06 06 07 08 09 10 A 注意事项 以下注意事项是为了避免发生危险和伤害的重要内容，请务必遵守。 1.本机适于室内，使用时应竖直固定在柜体内部，安装柜体尺寸及固定方式参见
EMF106-H,EMF106-h 安饮复合标准型,复合/中央净水,安饮,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
净水机机头
活性炭折叠膜复合滤芯
水龙头及相关的组件包
3/8"" 的塑料软管两根（黄蓝各一根）
配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋
用户手册","在单一包装箱内，其中包括以下组件
净水机机头
活性炭折叠膜复合滤芯
水龙头及相关的组件包
3/8"" 的塑料软管两根（黄蓝各一根）
配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋
用户手册",found,产品组件,found,本产品的所有组件都包含,EMF106-h 安饮复合标准型.pdf,../EMF106-h 安饮复合标准型.pdf,1,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1） 净水机机头， （2） 活性炭折叠膜复合滤芯； （3） 水龙头及相关的组件包： （4） 3/8"" 的塑料软管两根（黄蓝各一根）； （5）配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋； （6）用户手册。","在单一包装箱内，其中包括以下组件： （1） 净水机机头， （2） 活性炭折叠膜复合滤芯； （3） 水龙头及相关的组件包： （4） 3/8"" 的塑料软管两根（黄蓝各一根）； （5）配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋； （6）用户手册。"
EMF108,EMF108 -H 安饮复合功能型,复合/中央净水,安饮,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
净水机机头
沸石活性炭折叠膜复合滤芯
水龙头及相关的组件包
3/8'' 的塑料软管两根（黄蓝各一根）
配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋
用户手册。 三 .","在单一包装箱内，其中包括以下组件
净水机机头
沸石活性炭折叠膜复合滤芯
水龙头及相关的组件包
3/8'' 的塑料软管两根（黄蓝各一根）
配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋
用户手册。 三 .",found,产品组件,found,本产品的所有组件都包含,EMF108 -H 安饮复合功能型.pdf,../EMF108 -H 安饮复合功能型.pdf,1,本产品的所有组件都包含在单一包装箱内，其中包括以下组件： (1) 净水机机头； (2) 沸石活性炭折叠膜复合滤芯； (3) 水龙头及相关的组件包； (4) 3/8'' 的塑料软管两根（黄蓝各一根）； (5) 配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋； (6) 用户手册。 三 .,在单一包装箱内，其中包括以下组件： (1) 净水机机头； (2) 沸石活性炭折叠膜复合滤芯； (3) 水龙头及相关的组件包； (4) 3/8'' 的塑料软管两根（黄蓝各一根）； (5) 配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋； (6) 用户手册。 三 .
EMF110-H,EMF110-H 安饮复合功能加强型,复合/中央净水,安饮,未在可识别正文中找到明确产品组件清单,未在可识别正文中找到明确开箱配件或装箱清单,not_found,,not_found,,EMF110-H 安饮复合功能加强型.pdf,../EMF110-H 安饮复合功能加强型.pdf,1,,
EMF206-1,EMF206-1 OWNERS MANUAL,其他,其他,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件
净水机机头
活性炭折叠膜复合滤芯
水龙头及相关的组件包
3/8"" 的塑料软管两根（黄蓝各一根）
配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋
质保卡、通用版说明书","在单一包装箱内，其中包括以下组件
净水机机头
活性炭折叠膜复合滤芯
水龙头及相关的组件包
3/8"" 的塑料软管两根（黄蓝各一根）
配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋
质保卡、通用版说明书",found,产品组件,found,本产品的所有组件都包含,EMF206-1 OWNERS MANUAL.pdf,../EMF206-1 OWNERS MANUAL.pdf,1,"本产品的所有组件都包含在单一包装箱内，其中包括以下组件： （1）净水机机头， （2） 活性炭折叠膜复合滤芯； （3） 水龙头及相关的组件包： （4） 3/8"" 的塑料软管两根（黄蓝各一根）； （5） 配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋； （6） 质保卡、通用版说明书","在单一包装箱内，其中包括以下组件： （1）净水机机头， （2） 活性炭折叠膜复合滤芯； （3） 水龙头及相关的组件包： （4） 3/8"" 的塑料软管两根（黄蓝各一根）； （5） 配件包：管接头，固定螺钉和垫圈；侧盖及油脂袋； （6） 质保卡、通用版说明书"
